LEA ID ,District,Title I Allocations Under the Recovery Act
3400660,ABSECON CITY,"90,622"
3400690,ALEXANDRIA TOWNSHIP,0
3400720,ALLAMUCHY TOWNSHIP,0
3400750,ALLENDALE BOROUGH,0
3400780,ALLENHURST,0
3400810,ALLOWAY TOWNSHIP,"42,697"
3400840,ALPHA BOROUGH,"44,440"
3400870,ALPINE BOROUGH,"23,527"
3400900,ANDOVER REG,0
3400930,ASBURY PARK CITY,"1,022,940"
3400960,ATLANTIC CITY,"2,638,399"
3401020,ATLANTIC HIGHLANDS BOROUGH,0
3401050,AUDUBON BOROUGH,"86,265"
3401080,AUDUBON PARK BOROUGH,"14,233"
3401110,AVALON BOROUGH,"18,299"
3401140,AVON BOROUGH,0
3416470,BARNEGAT TOWNSHIP,"313,692"
3401170,BARRINGTON BOROUGH,"69,709"
3401200,BASS RIVER TOWNSHIP,0
3401230,BAY HEAD BOROUGH,"8,714"
3401260,BAYONNE CITY,"1,634,686"
3401290,BEACH HAVEN BOROUGH,"10,456"
3401320,BEDMINSTER TOWNSHIP,0
3401350,BELLEVILLE TOWN,"582,074"
3401380,BELLMAWR BOROUGH,"123,734"
3401410,BELMAR BOROUGH,"61,867"
3401440,BELVIDERE TOWN,"26,230"
3401500,BERGENFIELD BOROUGH,"257,054"
3401530,BERKELEY HEIGHTS TOWNSHIP,0
3401560,BERKELEY TOWNSHIP,"155,975"
3401590,BERLIN BOROUGH,"45,311"
3401620,BERLIN TOWNSHIP,"173,846"
3401650,BERNARDS TOWNSHIP,0
3401710,BETHLEHEM TOWNSHIP,0
3401740,BEVERLY CITY,"56,639"
3401770,BLACK HORSE PIKE REGIONAL,"306,722"
3401800,BLAIRSTOWN TOWNSHIP,0
3401830,BLOOMFIELD TOWNSHIP,"624,335"
3401860,BLOOMINGDALE BOROUGH,"54,896"
3401890,BLOOMSBURY BOROUGH,0
3401920,BOGOTA BOROUGH,"98,465"
3401950,BOONTON TOWN,"87,137"
3401980,BOONTON TOWNSHIP,0
3402030,BORDENTOWN REGIONAL,0
3402100,BOUND BROOK BOROUGH,"145,518"
3402130,BRADLEY BEACH BOROUGH,"53,153"
3402160,BRANCHBURG TOWNSHIP,0
3402190,BRANCHVILLE BOROUGH,"11,328"
3402220,BRICK TOWNSHIP,"820,393"
3402250,BRIDGETON CITY,"3,390,282"
3402280,BRIDGEWATER-RARITAN REG,0
3402310,BRIELLE BOROUGH,0
3402340,BRIGANTINE CITY,"275,756"
3402370,BROOKLAWN BOROUGH,"68,562"
3402400,BUENA REGIONAL,"407,210"
3402430,BURLINGTON CITY,"200,415"
3402460,BURLINGTON TOWNSHIP,0
3402520,BUTLER BOROUGH,0
3402550,BYRAM TOWNSHIP,0
3402580,CALDWELL-WEST CALDWELL,0
3402610,CALIFON BOROUGH,0
3402640,CAMDEN CITY,"8,612,565"
3402700,CAPE MAY CITY,"25,270"
3402760,CAPE MAY POINT,0
3402790,CARLSTADT BOROUGH,"40,083"
3402800,CARLSTADT-EAST RUTHERFORD,"40,954"
3402820,CARTERET BOROUGH,"386,887"
3402850,CEDAR GROVE TOWNSHIP,0
3402910,CENTRAL REGIONAL,"182,116"
3403000,CHERRY HILL TOWNSHIP,"623,028"
3403030,CHESILHURST,"33,112"
3403060,CHESTER TOWNSHIP,0
3403090,CHESTERFIELD TOWNSHIP,0
3403120,CINNAMINSON TOWNSHIP,0
3412270,CITY OF ORANGE TOWNSHIP,"1,361,512"
3403150,CLARK TOWNSHIP,0
3403180,CLAYTON BOROUGH,"102,821"
3403210,CLEARVIEW REGIONAL,0
3403240,CLEMENTON BOROUGH,"98,260"
3403270,CLIFFSIDE PARK BOROUGH,"287,551"
3403300,CLIFTON CITY,"1,838,586"
3403330,CLINTON TOWN,0
3403360,CLINTON TOWNSHIP,0
3403390,CLOSTER BOROUGH,0
3403420,COLLINGSWOOD BOROUGH,"174,274"
3403450,COLTS NECK TOWNSHIP,0
3403480,COMMERCIAL TOWNSHIP,"351,238"
3403510,CORBIN CITY,"9,585"
3403540,CRANBURY TOWNSHIP,0
3403570,CRANFORD TOWNSHIP,0
3403600,CRESSKILL BOROUGH,0
3403620,CUMBERLAND REGIONAL,"203,907"
3403630,DEAL BOROUGH,"12,199"
3403660,DEERFIELD TOWNSHIP,"48,797"
3403690,DELANCO TOWNSHIP,"47,054"
3403720,DELAWARE TOWNSHIP,0
3403750,DELAWARE VALLEY REGIONAL,0
3403780,DELRAN TOWNSHIP,0
3415450,DELSEA REGIONAL HIGH SCHOOL DISTRICT,"127,220"
3403810,DEMAREST BOROUGH,0
3403840,DENNIS TOWNSHIP,"67,095"
3403870,DENVILLE TOWNSHIP,0
3403900,DEPTFORD TOWNSHIP,"399,958"
3403930,DOVER TOWN,"318,921"
3403960,DOWNE TOWNSHIP,"89,027"
3403990,DUMONT BOROUGH,0
3404020,DUNELLEN BOROUGH,"67,967"
3404050,EAGLESWOOD TOWNSHIP,"14,813"
3404080,EAST AMWELL TOWNSHIP,0
3404110,EAST BRUNSWICK TOWNSHIP,0
3404140,EAST GREENWICH TOWNSHIP,0
3404170,EAST HANOVER TOWNSHIP,0
3404200,EAST NEWARK BOROUGH,"58,801"
3404230,EAST ORANGE,"4,190,208"
3404290,EAST RUTHERFORD BOROUGH,"67,967"
3404320,EAST WINDSOR REGIONAL,"293,651"
3404350,EASTAMPTON TOWNSHIP,0
3404380,EASTERN CAMDEN COUNTY REG,"90,622"
3404410,EATONTOWN BOROUGH,"112,406"
3404440,EDGEWATER BOROUGH,"74,169"
3404470,EDGEWATER PARK TOWNSHIP,"117,635"
3404500,EDISON TOWNSHIP,0
3404530,EGG HARBOR CITY,"107,427"
3404560,EGG HARBOR TOWNSHIP,"456,597"
3404590,ELIZABETH CITY,"6,393,565"
3404620,ELK TOWNSHIP,"34,855"
3404650,ELMER BOROUGH,0
3404660,ELMWOOD PARK,"187,344"
3404680,ELSINBORO TOWNSHIP,0
3404710,EMERSON BOROUGH,0
3404740,ENGLEWOOD CITY,"359,875"
3404770,ENGLEWOOD CLIFFS BOROUGH,0
3404830,ESSEX FELLS BOROUGH,0
3404860,ESTELL MANOR CITY,"20,913"
3404890,EVESHAM TOWNSHIP,0
3404920,EWING TOWNSHIP,"326,763"
3404950,FAIR HAVEN BOROUGH,0
3404980,FAIR LAWN BOROUGH,0
3405010,FAIRFIELD TOWNSHIP,0
3405040,FAIRFIELD TOWNSHIP,"134,798"
3405070,FAIRVIEW BOROUGH,"262,282"
3405130,FARMINGDALE BOROUGH,"15,685"
3405190,FLEMINGTON-RARITAN REG,0
3405220,FLORENCE TOWNSHIP,"113,278"
3405250,FLORHAM PARK BOROUGH,0
3405280,FOLSOM BOROUGH,"40,083"
3405310,FORT LEE BOROUGH,"373,817"
3405340,FRANKFORD TOWNSHIP,"31,369"
3405400,FRANKLIN BOROUGH,"56,639"
3405370,FRANKLIN LAKES BOROUGH,0
3405430,FRANKLIN TOWNSHIP,"112,406"
3405460,FRANKLIN TOWNSHIP,0
3405490,FRANKLIN TOWNSHIP,"420,871"
3405520,FRANKLIN TOWNSHIP,0
3405550,FREDON TOWNSHIP,0
3405580,FREEHOLD BOROUGH,"165,560"
3405610,FREEHOLD REGIONAL,0
3405640,FREEHOLD TOWNSHIP,0
3405670,FRELINGHUYSEN TOWNSHIP,0
3405700,FRENCHTOWN BOROUGH,0
3405730,GALLOWAY TOWNSHIP,"310,207"
3405760,GARFIELD CITY,"579,460"
3405790,GARWOOD BOROUGH,"28,755"
3405820,GATEWAY REGIONAL,"81,037"
3405850,GIBBSBOROUGH BOROUGH,"17,089"
3405880,GLASSBORO,"354,647"
3405910,GLEN GARDNER BOROUGH,0
3405940,GLEN RIDGE BOROUGH,0
3405970,GLEN ROCK BOROUGH,0
3406000,GLOUCESTER CITY,"401,365"
3406030,GLOUCESTER TOWNSHIP,"641,327"
3400008,GREAT MEADOWS REGIONAL,0
3406060,GREATER EGG HARBOR REG,"282,323"
3406120,GREEN BROOK TOWNSHIP,0
3406090,GREEN TOWNSHIP,0
3406150,GREENWICH TOWNSHIP,"10,456"
3406180,GREENWICH TOWNSHIP,"44,440"
